customer_id,dropoff_long,dropoff_lat,dropoff_node_id,volume,dropoff_tw_start,dropoff_tw_end,service_duration,depth,height,width,dropoff_zone_id,delivered_date,depot_id,vehicle_id,stop_id
c276,-88.240729,41.642536,cust_node_190,10440.234,,,43.0,34.3,11.4,26.7,A-2.3B,2018-08-08,DCH3,v1,AA
c277,-88.226728,41.633664,cust_node_191,987.8399999999998,,,35.0,22.4,3.0,14.7,A-2.1A,2018-08-08,DCH3,v1,AK
c278,-88.253672,41.648809,cust_node_192,734.7599999999999,,,46.0,23.4,2.0,15.7,A-2.1E,2018-08-08,DCH3,v1,AO
c279,-88.248811,41.637084,cust_node_193,17886.329999999998,,,34.7,33.0,20.3,26.7,A-2.1B,2018-08-08,DCH3,v1,AT
c280,-88.248811,41.637084,cust_node_193,17886.329999999998,,,34.7,33.0,20.3,26.7,A-2.1B,2018-08-08,DCH3,v1,AT
c281,-88.248811,41.637084,cust_node_193,1149.12,,,34.7,21.6,3.8,14.0,A-2.1B,2018-08-08,DCH3,v1,AT
c282,-88.23572,41.642543,cust_node_194,32159.26,,,36.0,44.5,20.3,35.6,A-2.3B,2018-08-08,DCH3,v1,BC
c283,-88.23459,41.628575,cust_node_195,9522.192,,,23.0,39.4,7.6,31.8,A-3.1A,2018-08-08,DCH3,v1,BD
c284,-88.231369,41.632453,cust_node_196,551.0399999999998,2018-08-08 14:00:00,2018-08-08 22:00:00,24.0,24.0,1.4,16.4,A-2.2A,2018-08-08,DCH3,v1,BI
c285,-88.252996,41.645139,cust_node_197,1611.792,,,28.0,31.2,1.8,28.7,A-2.1E,2018-08-08,DCH3,v1,BK
c286,-88.228531,41.630973,cust_node_198,2579.6400000000003,,,35.0,22.2,8.3,14.0,A-2.1A,2018-08-08,DCH3,v1,BO
c287,-88.250701,41.638745,cust_node_199,59140.8,,,76.0,59.2,27.0,37.0,A-2.1B,2018-08-08,DCH3,v1,BU
c288,-88.261307,41.645467,cust_node_200,1370.25,,,22.0,31.5,1.5,29.0,A-2.1D,2018-08-08,DCH3,v1,BV
c289,-88.261307,41.645467,cust_node_200,1370.25,,,22.0,31.5,1.5,29.0,A-2.1D,2018-08-08,DCH3,v1,BV
c290,-88.229087,41.636448,cust_node_201,6282.387999999999,,,51.0,34.3,7.6,24.1,,2018-08-08,DCH3,v1,BW
c291,-88.276335,41.6423,cust_node_202,9522.192,,,30.5,39.4,7.6,31.8,A-2.3D,2018-08-08,DCH3,v1,BX
c292,-88.276335,41.6423,cust_node_202,22605.048000000003,,,30.5,45.7,21.6,22.9,A-2.3D,2018-08-08,DCH3,v1,BX
c293,-88.23398,41.639496,cust_node_203,32159.26,,,58.0,44.5,20.3,35.6,A-2.3A,2018-08-08,DCH3,v1,CE
c294,-88.23398,41.639496,cust_node_203,5741.924,,,58.0,25.4,12.7,17.8,A-2.3A,2018-08-08,DCH3,v1,CE
c295,-88.26039,41.64964,cust_node_204,1611.792,,,60.0,31.2,1.8,28.7,A-2.1D,2018-08-08,DCH3,v1,CK
c296,-88.234566,41.641693,cust_node_205,7937.706,,,93.0,34.3,11.4,20.3,A-2.3B,2018-08-08,DCH3,v1,CP
c297,-88.234566,41.641693,cust_node_205,1702.9979999999998,,,22.0,28.2,3.3,18.3,A-2.3B,2018-08-08,DCH3,v1,CP
c298,-88.236193,41.643328,cust_node_206,3233.342,,,38.0,28.7,4.3,26.2,,2018-08-08,DCH3,v1,CX
c299,-88.236193,41.643328,cust_node_206,4277.0,,,38.0,26.0,7.0,23.5,,2018-08-08,DCH3,v1,CX
c300,-88.222305,41.633081,cust_node_207,1829.19,2018-08-08 14:00:00,2018-08-08 21:00:00,84.0,24.1,4.6,16.5,A-2.1A,2018-08-08,DCH3,v1,CY
c301,-88.261387,41.639529,cust_node_208,2466.0,2018-08-08 14:00:00,2018-08-08 22:00:00,43.0,30.0,3.0,27.4,A-2.2C,2018-08-08,DCH3,v1,DB
c302,-88.236323,41.6402,cust_node_209,22605.048000000003,,,36.5,45.7,21.6,22.9,A-2.3B,2018-08-08,DCH3,v1,DI
c303,-88.236323,41.6402,cust_node_209,3074.0,,,36.5,29.0,4.0,26.5,A-2.3B,2018-08-08,DCH3,v1,DI
c304,-88.261989,41.647001,cust_node_210,734.7599999999999,,,39.0,23.4,2.0,15.7,A-2.1D,2018-08-08,DCH3,v1,DS
c305,-88.255268,41.651883,cust_node_211,17886.329999999998,,,37.8,33.0,20.3,26.7,A-2.1E,2018-08-08,DCH3,v1,DT
